ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
2199,1991,2,9,16,18,58.3,-9.929,159.139,0.1,0,0,0,0
2200,1991,2,16,1,23,40.4,48.268,154.328,0.1,0,0,0,0
2201,1991,2,21,2,35,34, AK,58.427,87,0,0,0,0
2202,1991,4,22,21,56,51.8, PANDORA,9.685,74,0,0,1,0
2203,1991,5,7,0,0,0,37.133,26.833,0.5,0,0,0,0
2205,1991,10,14,15,58,12.7,-9.094,158.442,0.15,0,0,0,0
2206,1991,12,22,8,43,13.4,45.533,151.021,0.52,0,0,0,0
2207,1992,1,5,6,0,0,18,108,0.8,0,0,0,0
2208,1992,4,25,18,6,4.2, N. CALIFORNIA,40.368,88,0,0,0,0
2209,1992,5,17,10,15,31.3,7.191,126.762,6,0,0,0,0
2210,1992,5,27,5,13,38.8,-11.122,165.239,0.1,0,0,0,0
2462,1992,7,3,0,0,0, FL,0,75,0,0,0,0
2211,1992,7,18,8,36,58.7,39.419,143.33,0.3,0,0,0,0
5427,1992,8,11,15,14,55.1,32.536,141.641,0,0,0,0,0
2213,1992,9,2,0,16,2.8,11.727,-87.386,9.9,30,170,489,0
2214,1992,12,12,5,29,26.3,-8.48,121.896,26.2,100,1169,500,0
2215,1993,2,7,13,27,42,37.634,137.245,0.5,0,0,0,0
5602,1993,3,12,14,1,35.4,-14.385,-178.252,0,0,0,0,0
2218,1993,6,8,13,3,36.4,51.218,157.829,0.1,0,0,0,0
5515,1993,6,18,11,52,54.8,-28.886,-176.819,0,0,0,0,0
2219,1993,7,12,13,17,11.9,42.851,139.197,32,1207,208,233,0
2220,1993,8,7,19,42,41.9,41.985,139.839,0.16,0,0,0,0
2221,1993,8,8,8,34,24.9, MARIANA ISLANDS,12.982,81,0,0,0,0
2222,1993,11,13,1,18,4.1,51.934,158.647,0.05,0,0,0,0
5405,1994,1,4,0,0,0, MAINE,44.4,75,0,0,0,0
2223,1994,1,17,12,30,55.3, USA,34.213,88,0,0,0,0
2224,1994,1,21,2,24,29.9,1.015,127.733,2,0,0,0,0
2225,1994,2,15,17,7,43.8,-4.967,104.302,0,0,0,0,0
2226,1994,4,8,1,10,40.8,40.608,143.683,0.11,0,0,0,0
4249,1994,4,28,11,30,0,61.267,6.583,4,0,0,0,0
